"Estado","Total","a�o","sexo","Mes","numerocasos"
"Aguascalientes",675,"2003","F","Ene",39
"Baja California",42,"2003","F","Ene",1
"Baja California Sur",39,"2003","F","Ene",2
"Campeche",34,"2003","F","Ene",2
"Coahuila",49,"2003","F","Ene",0
"Colima",4644,"2003","F","Ene",378
"Chiapas",110,"2003","F","Ene",7
"Chihuahua",255,"2003","F","Ene",6
"Distrito Federal",139,"2003","F","Ene",9
"Durango",2708,"2003","F","Ene",87
"Guanajuato",12773,"2003","F","Ene",608
"Guerrero",11880,"2003","F","Ene",763
"Hidalgo",156,"2003","F","Ene",8
"Jalisco",23377,"2003","F","Ene",1698
"México",2813,"2003","F","Ene",131
"Michoacán",14178,"2003","F","Ene",861
"Morelos",14922,"2003","F","Ene",808
"Nayarit",6635,"2003","F","Ene",397
"Nuevo León",243,"2003","F","Ene",2
"Oaxaca",2374,"2003","F","Ene",163
"Puebla",7887,"2003","F","Ene",480
"Querétaro",2259,"2003","F","Ene",110
"Quintana Roo",54,"2003","F","Ene",1
"San Luis Potosi",138,"2003","F","Ene",2
"Sinaloa",4161,"2003","F","Ene",220
"Sonora",6676,"2003","F","Ene",235
"Tabasco",28,"2003","F","Ene",2
"Tamaulipas",294,"2003","F","Ene",3
"Tlaxcala",14,"2003","F","Ene",1
"Veracruz",145,"2003","F","Ene",5
"Yucatán",41,"2003","F","Ene",1
"Zacatecas",1417,"2003","F","Ene",50
"TOTAL GLOBAL",121160,"2003","F","Ene",7080
"Aguascalientes",675,"2003","F","Feb",40
"Baja California",42,"2003","F","Feb",2
"Baja California Sur",39,"2003","F","Feb",1
"Campeche",34,"2003","F","Feb",7
"Coahuila",49,"2003","F","Feb",1
"Colima",4644,"2003","F","Feb",359
"Chiapas",110,"2003","F","Feb",16
"Chihuahua",255,"2003","F","Feb",5
"Distrito Federal",139,"2003","F","Feb",11
"Durango",2708,"2003","F","Feb",57
"Guanajuato",12773,"2003","F","Feb",825
"Guerrero",11880,"2003","F","Feb",747
"Hidalgo",156,"2003","F","Feb",6
"Jalisco",23377,"2003","F","Feb",1380
"México",2813,"2003","F","Feb",131
"Michoacán",14178,"2003","F","Feb",861
"Morelos",14922,"2003","F","Feb",855
"Nayarit",6635,"2003","F","Feb",260
"Nuevo León",243,"2003","F","Feb",2
"Oaxaca",2374,"2003","F","Feb",161
"Puebla",7887,"2003","F","Feb",529
"Querétaro",2259,"2003","F","Feb",114
"Quintana Roo",54,"2003","F","Feb",1
"San Luis Potosi",138,"2003","F","Feb",3
"Sinaloa",4161,"2003","F","Feb",173
"Sonora",6676,"2003","F","Feb",199
"Tabasco",28,"2003","F","Feb",3
"Tamaulipas",294,"2003","F","Feb",2
"Tlaxcala",14,"2003","F","Feb",0
"Veracruz",145,"2003","F","Feb",5
"Yucatán",41,"2003","F","Feb",5
"Zacatecas",1417,"2003","F","Feb",50
"TOTAL GLOBAL",121160,"2003","F","Feb",6811
"Aguascalientes",675,"2003","F","Mar",49
"Baja California",42,"2003","F","Mar",2
"Baja California Sur",39,"2003","F","Mar",1
"Campeche",34,"2003","F","Mar",5
"Coahuila",49,"2003","F","Mar",2
"Colima",4644,"2003","F","Mar",266
"Chiapas",110,"2003","F","Mar",5
"Chihuahua",255,"2003","F","Mar",5
"Distrito Federal",139,"2003","F","Mar",13
"Durango",2708,"2003","F","Mar",147
"Guanajuato",12773,"2003","F","Mar",1147
"Guerrero",11880,"2003","F","Mar",812
"Hidalgo",156,"2003","F","Mar",15
"Jalisco",23377,"2003","F","Mar",1869
"México",2813,"2003","F","Mar",131
"Michoacán",14178,"2003","F","Mar",1170
"Morelos",14922,"2003","F","Mar",1257
"Nayarit",6635,"2003","F","Mar",350
"Nuevo León",243,"2003","F","Mar",7
"Oaxaca",2374,"2003","F","Mar",200
"Puebla",7887,"2003","F","Mar",667
"Querétaro",2259,"2003","F","Mar",180
"Quintana Roo",54,"2003","F","Mar",1
"San Luis Potosi",138,"2003","F","Mar",9
"Sinaloa",4161,"2003","F","Mar",136
"Sonora",6676,"2003","F","Mar",196
"Tabasco",28,"2003","F","Mar",1
"Tamaulipas",294,"2003","F","Mar",3
"Tlaxcala",14,"2003","F","Mar",2
"Veracruz",145,"2003","F","Mar",19
"Yucatán",41,"2003","F","Mar",1
"Zacatecas",1417,"2003","F","Mar",91
"TOTAL GLOBAL",121160,"2003","F","Mar",8759
"Aguascalientes",675,"2003","F","Abr",115
"Baja California",42,"2003","F","Abr",1
"Baja California Sur",39,"2003","F","Abr",3
"Campeche",34,"2003","F","Abr",5
"Coahuila",49,"2003","F","Abr",4
"Colima",4644,"2003","F","Abr",400
"Chiapas",110,"2003","F","Abr",14
"Chihuahua",255,"2003","F","Abr",13
"Distrito Federal",139,"2003","F","Abr",17
"Durango",2708,"2003","F","Abr",299
"Guanajuato",12773,"2003","F","Abr",2364
"Guerrero",11880,"2003","F","Abr",1090
"Hidalgo",156,"2003","F","Abr",16
"Jalisco",23377,"2003","F","Abr",3127
"México",2813,"2003","F","Abr",299
"Michoacán",14178,"2003","F","Abr",1679
"Morelos",14922,"2003","F","Abr",2300
"Nayarit",6635,"2003","F","Abr",648
"Nuevo León",243,"2003","F","Abr",29
"Oaxaca",2374,"2003","F","Abr",329
"Puebla",7887,"2003","F","Abr",1069
"Querétaro",2259,"2003","F","Abr",305
"Quintana Roo",54,"2003","F","Abr",8
"San Luis Potosi",138,"2003","F","Abr",18
"Sinaloa",4161,"2003","F","Abr",263
"Sonora",6676,"2003","F","Abr",480
"Tabasco",28,"2003","F","Abr",3
"Tamaulipas",294,"2003","F","Abr",12
"Tlaxcala",14,"2003","F","Abr",2
"Veracruz",145,"2003","F","Abr",13
"Yucatán",41,"2003","F","Abr",2
"Zacatecas",1417,"2003","F","Abr",182
"TOTAL GLOBAL",121160,"2003","F","Abr",15109
"Aguascalientes",675,"2003","F","May",80
"Baja California",42,"2003","F","May",4
"Baja California Sur",39,"2003","F","May",9
"Campeche",34,"2003","F","May",3
"Coahuila",49,"2003","F","May",3
"Colima",4644,"2003","F","May",342
"Chiapas",110,"2003","F","May",5
"Chihuahua",255,"2003","F","May",35
"Distrito Federal",139,"2003","F","May",15
"Durango",2708,"2003","F","May",460
"Guanajuato",12773,"2003","F","May",2102
"Guerrero",11880,"2003","F","May",921
"Hidalgo",156,"2003","F","May",16
"Jalisco",23377,"2003","F","May",2805
"México",2813,"2003","F","May",277
"Michoacán",14178,"2003","F","May",1567
"Morelos",14922,"2003","F","May",1499
"Nayarit",6635,"2003","F","May",557
"Nuevo León",243,"2003","F","May",41
"Oaxaca",2374,"2003","F","May",197
"Puebla",7887,"2003","F","May",844
"Querétaro",2259,"2003","F","May",302
"Quintana Roo",54,"2003","F","May",3
"San Luis Potosi",138,"2003","F","May",23
"Sinaloa",4161,"2003","F","May",309
"Sonora",6676,"2003","F","May",904
"Tabasco",28,"2003","F","May",4
"Tamaulipas",294,"2003","F","May",32
"Tlaxcala",14,"2003","F","May",0
"Veracruz",145,"2003","F","May",10
"Yucatán",41,"2003","F","May",5
"Zacatecas",1417,"2003","F","May",298
"TOTAL GLOBAL",121160,"2003","F","May",13672
"Aguascalientes",675,"2003","F","Jun",72
"Baja California",42,"2003","F","Jun",1
"Baja California Sur",39,"2003","F","Jun",2
"Campeche",34,"2003","F","Jun",0
"Coahuila",49,"2003","F","Jun",5
"Colima",4644,"2003","F","Jun",388
"Chiapas",110,"2003","F","Jun",9
"Chihuahua",255,"2003","F","Jun",32
"Distrito Federal",139,"2003","F","Jun",15
"Durango",2708,"2003","F","Jun",373
"Guanajuato",12773,"2003","F","Jun",1054
"Guerrero",11880,"2003","F","Jun",974
"Hidalgo",156,"2003","F","Jun",17
"Jalisco",23377,"2003","F","Jun",2082
"México",2813,"2003","F","Jun",273
"Michoacán",14178,"2003","F","Jun",1167
"Morelos",14922,"2003","F","Jun",1336
"Nayarit",6635,"2003","F","Jun",617
"Nuevo León",243,"2003","F","Jun",23
"Oaxaca",2374,"2003","F","Jun",181
"Puebla",7887,"2003","F","Jun",685
"Querétaro",2259,"2003","F","Jun",276
"Quintana Roo",54,"2003","F","Jun",5
"San Luis Potosi",138,"2003","F","Jun",15
"Sinaloa",4161,"2003","F","Jun",416
"Sonora",6676,"2003","F","Jun",1068
"Tabasco",28,"2003","F","Jun",0
"Tamaulipas",294,"2003","F","Jun",19
"Tlaxcala",14,"2003","F","Jun",0
"Veracruz",145,"2003","F","Jun",19
"Yucatán",41,"2003","F","Jun",5
"Zacatecas",1417,"2003","F","Jun",177
"TOTAL GLOBAL",121160,"2003","F","Jun",11306
"Aguascalientes",675,"2003","F","Jul",49
"Baja California",42,"2003","F","Jul",3
"Baja California Sur",39,"2003","F","Jul",5
"Campeche",34,"2003","F","Jul",4
"Coahuila",49,"2003","F","Jul",12
"Colima",4644,"2003","F","Jul",503
"Chiapas",110,"2003","F","Jul",10
"Chihuahua",255,"2003","F","Jul",41
"Distrito Federal",139,"2003","F","Jul",12
"Durango",2708,"2003","F","Jul",303
"Guanajuato",12773,"2003","F","Jul",824
"Guerrero",11880,"2003","F","Jul",1209
"Hidalgo",156,"2003","F","Jul",13
"Jalisco",23377,"2003","F","Jul",1923
"México",2813,"2003","F","Jul",206
"Michoacán",14178,"2003","F","Jul",1370
"Morelos",14922,"2003","F","Jul",1363
"Nayarit",6635,"2003","F","Jul",609
"Nuevo León",243,"2003","F","Jul",37
"Oaxaca",2374,"2003","F","Jul",245
"Puebla",7887,"2003","F","Jul",766
"Querétaro",2259,"2003","F","Jul",151
"Quintana Roo",54,"2003","F","Jul",3
"San Luis Potosi",138,"2003","F","Jul",18
"Sinaloa",4161,"2003","F","Jul",523
"Sonora",6676,"2003","F","Jul",736
"Tabasco",28,"2003","F","Jul",6
"Tamaulipas",294,"2003","F","Jul",162
"Tlaxcala",14,"2003","F","Jul",4
"Veracruz",145,"2003","F","Jul",19
"Yucatán",41,"2003","F","Jul",10
"Zacatecas",1417,"2003","F","Jul",162
"TOTAL GLOBAL",121160,"2003","F","Jul",11301
"Aguascalientes",675,"2003","F","Ago",52
"Baja California",42,"2003","F","Ago",15
"Baja California Sur",39,"2003","F","Ago",5
"Campeche",34,"2003","F","Ago",1
"Coahuila",49,"2003","F","Ago",2
"Colima",4644,"2003","F","Ago",414
"Chiapas",110,"2003","F","Ago",7
"Chihuahua",255,"2003","F","Ago",37
"Distrito Federal",139,"2003","F","Ago",8
"Durango",2708,"2003","F","Ago",260
"Guanajuato",12773,"2003","F","Ago",804
"Guerrero",11880,"2003","F","Ago",869
"Hidalgo",156,"2003","F","Ago",18
"Jalisco",23377,"2003","F","Ago",1476
"México",2813,"2003","F","Ago",162
"Michoacán",14178,"2003","F","Ago",967
"Morelos",14922,"2003","F","Ago",894
"Nayarit",6635,"2003","F","Ago",553
"Nuevo León",243,"2003","F","Ago",32
"Oaxaca",2374,"2003","F","Ago",164
"Puebla",7887,"2003","F","Ago",564
"Querétaro",2259,"2003","F","Ago",142
"Quintana Roo",54,"2003","F","Ago",5
"San Luis Potosi",138,"2003","F","Ago",13
"Sinaloa",4161,"2003","F","Ago",525
"Sonora",6676,"2003","F","Ago",821
"Tabasco",28,"2003","F","Ago",4
"Tamaulipas",294,"2003","F","Ago",23
"Tlaxcala",14,"2003","F","Ago",0
"Veracruz",145,"2003","F","Ago",17
"Yucatán",41,"2003","F","Ago",4
"Zacatecas",1417,"2003","F","Ago",90
"TOTAL GLOBAL",121160,"2003","F","Ago",8948
"Aguascalientes",675,"2003","F","Sep",62
"Baja California",42,"2003","F","Sep",6
"Baja California Sur",39,"2003","F","Sep",3
"Campeche",34,"2003","F","Sep",2
"Coahuila",49,"2003","F","Sep",12
"Colima",4644,"2003","F","Sep",415
"Chiapas",110,"2003","F","Sep",6
"Chihuahua",255,"2003","F","Sep",41
"Distrito Federal",139,"2003","F","Sep",12
"Durango",2708,"2003","F","Sep",207
"Guanajuato",12773,"2003","F","Sep",738
"Guerrero",11880,"2003","F","Sep",980
"Hidalgo",156,"2003","F","Sep",12
"Jalisco",23377,"2003","F","Sep",1567
"México",2813,"2003","F","Sep",214
"Michoacán",14178,"2003","F","Sep",1007
"Morelos",14922,"2003","F","Sep",1144
"Nayarit",6635,"2003","F","Sep",674
"Nuevo León",243,"2003","F","Sep",23
"Oaxaca",2374,"2003","F","Sep",162
"Puebla",7887,"2003","F","Sep",577
"Querétaro",2259,"2003","F","Sep",165
"Quintana Roo",54,"2003","F","Sep",7
"San Luis Potosi",138,"2003","F","Sep",15
"Sinaloa",4161,"2003","F","Sep",477
"Sonora",6676,"2003","F","Sep",632
"Tabasco",28,"2003","F","Sep",3
"Tamaulipas",294,"2003","F","Sep",21
"Tlaxcala",14,"2003","F","Sep",2
"Veracruz",145,"2003","F","Sep",19
"Yucatán",41,"2003","F","Sep",3
"Zacatecas",1417,"2003","F","Sep",101
"TOTAL GLOBAL",121160,"2003","F","Sep",9309
"Aguascalientes",675,"2003","F","Oct",57
"Baja California",42,"2003","F","Oct",2
"Baja California Sur",39,"2003","F","Oct",2
"Campeche",34,"2003","F","Oct",1
"Coahuila",49,"2003","F","Oct",4
"Colima",4644,"2003","F","Oct",498
"Chiapas",110,"2003","F","Oct",18
"Chihuahua",255,"2003","F","Oct",31
"Distrito Federal",139,"2003","F","Oct",16
"Durango",2708,"2003","F","Oct",213
"Guanajuato",12773,"2003","F","Oct",908
"Guerrero",11880,"2003","F","Oct",1306
"Hidalgo",156,"2003","F","Oct",18
"Jalisco",23377,"2003","F","Oct",2214
"México",2813,"2003","F","Oct",297
"Michoacán",14178,"2003","F","Oct",1461
"Morelos",14922,"2003","F","Oct",1485
"Nayarit",6635,"2003","F","Oct",933
"Nuevo León",243,"2003","F","Oct",20
"Oaxaca",2374,"2003","F","Oct",240
"Puebla",7887,"2003","F","Oct",651
"Querétaro",2259,"2003","F","Oct",203
"Quintana Roo",54,"2003","F","Oct",10
"San Luis Potosi",138,"2003","F","Oct",12
"Sinaloa",4161,"2003","F","Oct",581
"Sonora",6676,"2003","F","Oct",860
"Tabasco",28,"2003","F","Oct",2
"Tamaulipas",294,"2003","F","Oct",12
"Tlaxcala",14,"2003","F","Oct",2
"Veracruz",145,"2003","F","Oct",11
"Yucatán",41,"2003","F","Oct",0
"Zacatecas",1417,"2003","F","Oct",110
"TOTAL GLOBAL",121160,"2003","F","Oct",12178
"Aguascalientes",675,"2003","F","Nov",32
"Baja California",42,"2003","F","Nov",4
"Baja California Sur",39,"2003","F","Nov",5
"Campeche",34,"2003","F","Nov",0
"Coahuila",49,"2003","F","Nov",1
"Colima",4644,"2003","F","Nov",363
"Chiapas",110,"2003","F","Nov",4
"Chihuahua",255,"2003","F","Nov",8
"Distrito Federal",139,"2003","F","Nov",5
"Durango",2708,"2003","F","Nov",171
"Guanajuato",12773,"2003","F","Nov",670
"Guerrero",11880,"2003","F","Nov",1303
"Hidalgo",156,"2003","F","Nov",11
"Jalisco",23377,"2003","F","Nov",1713
"México",2813,"2003","F","Nov",310
"Michoacán",14178,"2003","F","Nov",1190
"Morelos",14922,"2003","F","Nov",1129
"Nayarit",6635,"2003","F","Nov",559
"Nuevo León",243,"2003","F","Nov",18
"Oaxaca",2374,"2003","F","Nov",195
"Puebla",7887,"2003","F","Nov",577
"Querétaro",2259,"2003","F","Nov",182
"Quintana Roo",54,"2003","F","Nov",5
"San Luis Potosi",138,"2003","F","Nov",5
"Sinaloa",4161,"2003","F","Nov",331
"Sonora",6676,"2003","F","Nov",156
"Tabasco",28,"2003","F","Nov",0
"Tamaulipas",294,"2003","F","Nov",3
"Tlaxcala",14,"2003","F","Nov",1
"Veracruz",145,"2003","F","Nov",6
"Yucatán",41,"2003","F","Nov",3
"Zacatecas",1417,"2003","F","Nov",57
"TOTAL GLOBAL",121160,"2003","F","Nov",9017
"Aguascalientes",675,"2003","F","Dic",28
"Baja California",42,"2003","F","Dic",1
"Baja California Sur",39,"2003","F","Dic",1
"Campeche",34,"2003","F","Dic",4
"Coahuila",49,"2003","F","Dic",3
"Colima",4644,"2003","F","Dic",318
"Chiapas",110,"2003","F","Dic",9
"Chihuahua",255,"2003","F","Dic",1
"Distrito Federal",139,"2003","F","Dic",6
"Durango",2708,"2003","F","Dic",131
"Guanajuato",12773,"2003","F","Dic",729
"Guerrero",11880,"2003","F","Dic",906
"Hidalgo",156,"2003","F","Dic",6
"Jalisco",23377,"2003","F","Dic",1523
"México",2813,"2003","F","Dic",382
"Michoacán",14178,"2003","F","Dic",878
"Morelos",14922,"2003","F","Dic",852
"Nayarit",6635,"2003","F","Dic",478
"Nuevo León",243,"2003","F","Dic",9
"Oaxaca",2374,"2003","F","Dic",137
"Puebla",7887,"2003","F","Dic",478
"Querétaro",2259,"2003","F","Dic",129
"Quintana Roo",54,"2003","F","Dic",5
"San Luis Potosi",138,"2003","F","Dic",5
"Sinaloa",4161,"2003","F","Dic",207
"Sonora",6676,"2003","F","Dic",389
"Tabasco",28,"2003","F","Dic",0
"Tamaulipas",294,"2003","F","Dic",2
"Tlaxcala",14,"2003","F","Dic",0
"Veracruz",145,"2003","F","Dic",2
"Yucatán",41,"2003","F","Dic",2
"Zacatecas",1417,"2003","F","Dic",49
"TOTAL GLOBAL",121160,"2003","F","Dic",7670
"Aguascalientes",703,"2004","F","Ene",14
"Baja California",50,"2004","F","Ene",0
"Baja California Sur",48,"2004","F","Ene",0
"Campeche",20,"2004","F","Ene",0
"Coahuila",54,"2004","F","Ene",5
"Colima",4919,"2004","F","Ene",203
"Chiapas",99,"2004","F","Ene",8
"Chihuahua",224,"2004","F","Ene",3
"Distrito Federal",190,"2004","F","Ene",10
"Durango",2571,"2004","F","Ene",67
"Guanajuato",12404,"2004","F","Ene",431
"Guerrero",14205,"2004","F","Ene",806
"Hidalgo",145,"2004","F","Ene",4
"Jalisco",23440,"2004","F","Ene",1287
"México",2597,"2004","F","Ene",120
"Michoacán",11890,"2004","F","Ene",523
"Morelos",12054,"2004","F","Ene",484
"Nayarit",6437,"2004","F","Ene",299
"Nuevo León",182,"2004","F","Ene",1
"Oaxaca",2297,"2004","F","Ene",116
"Puebla",7812,"2004","F","Ene",336
"Querétaro",1996,"2004","F","Ene",67
"Quintana Roo",43,"2004","F","Ene",1
"San Luis Potosí",188,"2004","F","Ene",5
"Sinaloa",4308,"2004","F","Ene",162
"Sonora",3282,"2004","F","Ene",49
"Tabasco",17,"2004","F","Ene",2
"Tamaulipas",275,"2004","F","Ene",3
"Tlaxcala",28,"2004","F","Ene",0
"Veracruz",135,"2004","F","Ene",1
"Yucatán",25,"2004","F","Ene",0
"Zacatecas",1251,"2004","F","Ene",51
"TOTAL GLOBAL",113889,"2004","F","Ene",5058
"Aguascalientes",703,"2004","F","Feb",17
"Baja California",50,"2004","F","Feb",0
"Baja California Sur",48,"2004","F","Feb",0
"Campeche",20,"2004","F","Feb",1
"Coahuila",54,"2004","F","Feb",0
"Colima",4919,"2004","F","Feb",278
"Chiapas",99,"2004","F","Feb",10
"Chihuahua",224,"2004","F","Feb",4
"Distrito Federal",190,"2004","F","Feb",6
"Durango",2571,"2004","F","Feb",76
"Guanajuato",12404,"2004","F","Feb",540
"Guerrero",14205,"2004","F","Feb",835
"Hidalgo",145,"2004","F","Feb",3
"Jalisco",23440,"2004","F","Feb",1173
"México",2597,"2004","F","Feb",114
"Michoacán",11890,"2004","F","Feb",594
"Morelos",12054,"2004","F","Feb",553
"Nayarit",6437,"2004","F","Feb",238
"Nuevo León",182,"2004","F","Feb",1
"Oaxaca",2297,"2004","F","Feb",125
"Puebla",7812,"2004","F","Feb",355
"Querétaro",1996,"2004","F","Feb",72
"Quintana Roo",43,"2004","F","Feb",4
"San Luis Potosí",188,"2004","F","Feb",4
"Sinaloa",4308,"2004","F","Feb",165
"Sonora",3282,"2004","F","Feb",52
"Tabasco",17,"2004","F","Feb",0
"Tamaulipas",275,"2004","F","Feb",7
"Tlaxcala",28,"2004","F","Feb",0
"Veracruz",135,"2004","F","Feb",11
"Yucatán",25,"2004","F","Feb",3
"Zacatecas",1251,"2004","F","Feb",29
"TOTAL GLOBAL",113889,"2004","F","Feb",5270
"Aguascalientes",703,"2004","F","Mar",59
"Baja California",50,"2004","F","Mar",4
"Baja California Sur",48,"2004","F","Mar",1
"Campeche",20,"2004","F","Mar",2
"Coahuila",54,"2004","F","Mar",1
"Colima",4919,"2004","F","Mar",431
"Chiapas",99,"2004","F","Mar",7
"Chihuahua",224,"2004","F","Mar",8
"Distrito Federal",190,"2004","F","Mar",20
"Durango",2571,"2004","F","Mar",164
"Guanajuato",12404,"2004","F","Mar",1223
"Guerrero",14205,"2004","F","Mar",1262
"Hidalgo",145,"2004","F","Mar",14
"Jalisco",23440,"2004","F","Mar",2357
"México",2597,"2004","F","Mar",230
"Michoacán",11890,"2004","F","Mar",1173
"Morelos",12054,"2004","F","Mar",1354
"Nayarit",6437,"2004","F","Mar",494
"Nuevo León",182,"2004","F","Mar",4
"Oaxaca",2297,"2004","F","Mar",243
"Puebla",7812,"2004","F","Mar",934
"Querétaro",1996,"2004","F","Mar",164
"Quintana Roo",43,"2004","F","Mar",8
"San Luis Potosí",188,"2004","F","Mar",12
"Sinaloa",4308,"2004","F","Mar",297
"Sonora",3282,"2004","F","Mar",153
"Tabasco",17,"2004","F","Mar",5
"Tamaulipas",275,"2004","F","Mar",14
"Tlaxcala",28,"2004","F","Mar",0
"Veracruz",135,"2004","F","Mar",10
"Yucatán",25,"2004","F","Mar",5
"Zacatecas",1251,"2004","F","Mar",93
"TOTAL GLOBAL",113889,"2004","F","Mar",10746
"Aguascalientes",703,"2004","F","Abr",71
"Baja California",50,"2004","F","Abr",3
"Baja California Sur",48,"2004","F","Abr",4
"Campeche",20,"2004","F","Abr",2
"Coahuila",54,"2004","F","Abr",1
"Colima",4919,"2004","F","Abr",394
"Chiapas",99,"2004","F","Abr",10
"Chihuahua",224,"2004","F","Abr",11
"Distrito Federal",190,"2004","F","Abr",17
"Durango",2571,"2004","F","Abr",227
"Guanajuato",12404,"2004","F","Abr",1579
"Guerrero",14205,"2004","F","Abr",1100
"Hidalgo",145,"2004","F","Abr",16
"Jalisco",23440,"2004","F","Abr",2647
"México",2597,"2004","F","Abr",249
"Michoacán",11890,"2004","F","Abr",1068
"Morelos",12054,"2004","F","Abr",1399
"Nayarit",6437,"2004","F","Abr",448
"Nuevo León",182,"2004","F","Abr",59
"Oaxaca",2297,"2004","F","Abr",194
"Puebla",7812,"2004","F","Abr",816
"Querétaro",1996,"2004","F","Abr",178
"Quintana Roo",43,"2004","F","Abr",5
"San Luis Potosí",188,"2004","F","Abr",17
"Sinaloa",4308,"2004","F","Abr",222
"Sonora",3282,"2004","F","Abr",184
"Tabasco",17,"2004","F","Abr",1
"Tamaulipas",275,"2004","F","Abr",18
"Tlaxcala",28,"2004","F","Abr",2
"Veracruz",135,"2004","F","Abr",19
"Yucatán",25,"2004","F","Abr",3
"Zacatecas",1251,"2004","F","Abr",122
"TOTAL GLOBAL",113889,"2004","F","Abr",11086
"Aguascalientes",703,"2004","F","May",82
"Baja California",50,"2004","F","May",8
"Baja California Sur",48,"2004","F","May",10
"Campeche",20,"2004","F","May",1
"Coahuila",54,"2004","F","May",3
"Colima",4919,"2004","F","May",407
"Chiapas",99,"2004","F","May",10
"Chihuahua",224,"2004","F","May",28
"Distrito Federal",190,"2004","F","May",21
"Durango",2571,"2004","F","May",374
"Guanajuato",12404,"2004","F","May",1566
"Guerrero",14205,"2004","F","May",1338
"Hidalgo",145,"2004","F","May",14
"Jalisco",23440,"2004","F","May",2645
"México",2597,"2004","F","May",322
"Michoacán",11890,"2004","F","May",1314
"Morelos",12054,"2004","F","May",1329
"Nayarit",6437,"2004","F","May",495
"Nuevo León",182,"2004","F","May",18
"Oaxaca",2297,"2004","F","May",234
"Puebla",7812,"2004","F","May",846
"Querétaro",1996,"2004","F","May",238
"Quintana Roo",43,"2004","F","May",3
"San Luis Potosí",188,"2004","F","May",19
"Sinaloa",4308,"2004","F","May",360
"Sonora",3282,"2004","F","May",416
"Tabasco",17,"2004","F","May",5
"Tamaulipas",275,"2004","F","May",21
"Tlaxcala",28,"2004","F","May",1
"Veracruz",135,"2004","F","May",23
"Yucatán",25,"2004","F","May",0
"Zacatecas",1251,"2004","F","May",133
"TOTAL GLOBAL",113889,"2004","F","May",12284
"Aguascalientes",703,"2004","F","Jun",75
"Baja California",50,"2004","F","Jun",8
"Baja California Sur",48,"2004","F","Jun",9
"Campeche",20,"2004","F","Jun",0
"Coahuila",54,"2004","F","Jun",13
"Colima",4919,"2004","F","Jun",549
"Chiapas",99,"2004","F","Jun",8
"Chihuahua",224,"2004","F","Jun",38
"Distrito Federal",190,"2004","F","Jun",25
"Durango",2571,"2004","F","Jun",423
"Guanajuato",12404,"2004","F","Jun",1357
"Guerrero",14205,"2004","F","Jun",1592
"Hidalgo",145,"2004","F","Jun",19
"Jalisco",23440,"2004","F","Jun",2557
"México",2597,"2004","F","Jun",242
"Michoacán",11890,"2004","F","Jun",1161
"Morelos",12054,"2004","F","Jun",1334
"Nayarit",6437,"2004","F","Jun",899
"Nuevo León",182,"2004","F","Jun",17
"Oaxaca",2297,"2004","F","Jun",244
"Puebla",7812,"2004","F","Jun",805
"Querétaro",1996,"2004","F","Jun",268
"Quintana Roo",43,"2004","F","Jun",7
"San Luis Potosí",188,"2004","F","Jun",30
"Sinaloa",4308,"2004","F","Jun",575
"Sonora",3282,"2004","F","Jun",658
"Tabasco",17,"2004","F","Jun",0
"Tamaulipas",275,"2004","F","Jun",22
"Tlaxcala",28,"2004","F","Jun",1
"Veracruz",135,"2004","F","Jun",15
"Yucatán",25,"2004","F","Jun",2
"Zacatecas",1251,"2004","F","Jun",199
"TOTAL GLOBAL",113889,"2004","F","Jun",13152
"Aguascalientes",703,"2004","F","Jul",77
"Baja California",50,"2004","F","Jul",10
"Baja California Sur",48,"2004","F","Jul",3
"Campeche",20,"2004","F","Jul",3
"Coahuila",54,"2004","F","Jul",8
"Colima",4919,"2004","F","Jul",405
"Chiapas",99,"2004","F","Jul",6
"Chihuahua",224,"2004","F","Jul",42
"Distrito Federal",190,"2004","F","Jul",15
"Durango",2571,"2004","F","Jul",262
"Guanajuato",12404,"2004","F","Jul",859
"Guerrero",14205,"2004","F","Jul",1127
"Hidalgo",145,"2004","F","Jul",20
"Jalisco",23440,"2004","F","Jul",1622
"México",2597,"2004","F","Jul",184
"Michoacán",11890,"2004","F","Jul",821
"Morelos",12054,"2004","F","Jul",899
"Nayarit",6437,"2004","F","Jul",698
"Nuevo León",182,"2004","F","Jul",9
"Oaxaca",2297,"2004","F","Jul",200
"Puebla",7812,"2004","F","Jul",616
"Querétaro",1996,"2004","F","Jul",175
"Quintana Roo",43,"2004","F","Jul",4
"San Luis Potosí",188,"2004","F","Jul",28
"Sinaloa",4308,"2004","F","Jul",414
"Sonora",3282,"2004","F","Jul",617
"Tabasco",17,"2004","F","Jul",2
"Tamaulipas",275,"2004","F","Jul",19
"Tlaxcala",28,"2004","F","Jul",2
"Veracruz",135,"2004","F","Jul",5
"Yucatán",25,"2004","F","Jul",3
"Zacatecas",1251,"2004","F","Jul",117
"TOTAL GLOBAL",113889,"2004","F","Jul",9272
"Aguascalientes",703,"2004","F","Ago",84
"Baja California",50,"2004","F","Ago",8
"Baja California Sur",48,"2004","F","Ago",3
"Campeche",20,"2004","F","Ago",4
"Coahuila",54,"2004","F","Ago",9
"Colima",4919,"2004","F","Ago",536
"Chiapas",99,"2004","F","Ago",3
"Chihuahua",224,"2004","F","Ago",41
"Distrito Federal",190,"2004","F","Ago",23
"Durango",2571,"2004","F","Ago",312
"Guanajuato",12404,"2004","F","Ago",1103
"Guerrero",14205,"2004","F","Ago",1360
